"","area","heat"
"226","010535373027","302.524295344423"
"228","010535373036","314.023650126502"
"229","010535373042","310.70719203596"
"230","010535373045","307.834492075194"
"231","010535373047","312.909474527092"
"232","010535373049","300.385590557435"
"234","010535373059","363.389934913684"
"235","010535373060","286.236150442543"
"237","010535373071","321.555037288773"
"238","010535373076","311.140172215492"
"239","010535373089","293.200640732344"
"240","010535373091","312.120971718439"
"241","010535373106","312.706286124036"
"242","010535391025","330.485069530043"
"244","010535391039","301.899906705692"
"245","010535391044","314.799628527226"
"246","010535391068","301.760170257921"
"247","010535391069","302.283370912182"
"248","010535391077","305.219412836269"
"249","010535391079","306.515941355955"
"250","010535391081","334.236072273444"
"251","010535391085","299.892194024679"
"252","010535391086","328.784319637399"
"253","010535391096","318.233134942462"
"254","010535391097","310.009972296546"
"255","010535391099","323.9908927894"
"257","010535391108","316.593622313144"
"258","010535391109","325.193244996375"
"259","010535391112","327.433755961443"
"261","010535391118","285.108394231415"
"262","010535391121","319.710019910467"
"263","010535391122","305.414624981384"
"264","010535391124","312.370912082151"
"265","010535391127","322.700352906856"
"266","010535391130","305.599636712872"
"267","010540033033","317.363828501865"
"268","010540056056","318.072480670553"
"270","010540138138","315.686181836772"
"271","010540168168","316.34716548438"
"272","010545417035","290.747480395488"
"273","010545417036","309.650445523965"
"276","010545417072","354.978023519197"
"278","010545417095","321.159084448647"
"279","010545417100","340.277366676127"
"280","010545417104","300.255204245045"
"281","010545417113","317.017825032128"
"282","010545417134","323.844304482558"
"283","010545417135","305.058734730498"
"286","010545417148","304.818647381763"
"288","010545439046","311.646221793253"
"290","010545439078","318.785975682897"
"291","010545439149","315.518505002148"
"292","010545453003","329.244515898884"
"293","010545453004","315.908510024289"
"294","010545453011","319.620421393927"
"295","010545453013","312.957625814618"
"296","010545453041","327.973568041707"
"297","010545453057","292.895494811917"
"298","010545453079","296.150858736543"
"299","010545453092","290.77485712849"
"300","010545453101","327.072226886858"
"301","010545453118","298.647103541517"
"302","010545453123","301.315128936602"
"303","010545453144","308.763702711715"
"304","010545453152","322.485932789866"
"308","010545459103","319.016833272055"
"309","010545488005","327.872661367638"
"310","010545488015","324.350858432713"
"312","010545488083","311.868348990709"
"313","010545488083","311.868348990709"
"314","010545488083","311.868348990709"
"315","010545488083","311.868348990709"
"316","010545488083","311.868348990709"
"317","010545488083","311.868348990709"
"318","010545488083","311.868348990709"
"319","010545488083","311.868348990709"
"320","010545488085","318.144026316208"
"321","010545488087","309.841912127196"
"322","010545488089","317.658308931437"
"323","010545488094","325.359858010106"
"324","010545488098","311.115271920468"
"326","010545488143","316.683936240479"
"328","010545488160","326.346840266506"
"329","010545488163","308.088319252538"
"330","010545488164","319.420440230719"
"331","010545489001","324.96164884859"
"332","010545489009","307.457178734132"
"333","010545489016","291.545021577066"
"334","010545489017","304.225544486931"
"336","010545489022","313.622077802774"
